5 2.575e-05
10 0.00016525
15 0.000527917
20 0.001154
25 0.00221821
30 0.00361854
35 0.00468137
40 0.00922354
45 0.00970854
50 0.0106527
55 0.0121311
60 0.0143644
65 0.0151538
70 0.0183669
75 0.0203602
80 0.0250148
85 0.0298418
90 0.0355065
95 0.0410869
100 0.04756
105 0.0553689
110 0.0606187
115 0.0680117
120 0.0757455
125 0.0851518
130 0.0960134
135 0.107679
140 0.11714
145 0.132749
150 0.146823
155 0.160282
160 0.172317
165 0.188885
170 0.202127
175 0.218784
180 0.239885
185 0.260324
190 0.270958
195 0.301483
200 0.318347
