# E  fit_curve
138.555 0.06195444114
138.7 0.0605602318
138.845 0.05921246006
138.99 0.05790909063
139.135 0.05664819831
139.28 0.05542796088
139.425 0.05424665262
139.57 0.05310263822
139.715 0.05199436721
139.86 0.05092036868
140.005 0.0498792465
140.15 0.04886967477
140.295 0.04789039365
140.44 0.04694020547
140.585 0.04601797105
140.73 0.04512260635
140.875 0.04425307927
141.02 0.04340840675
141.165 0.04258765193
141.31 0.04178992164
141.455 0.04101436394
141.6 0.04026016588
141.745 0.03952655137
141.89 0.03881277921
142.035 0.03811814121
142.18 0.03744196046
142.325 0.03678358967
142.47 0.03614240964
142.615 0.03551782784
142.76 0.03490927698
142.905 0.0343162138
143.05 0.0337381178
143.195 0.03317449018
143.34 0.03262485268
143.485 0.03208874664
143.63 0.03156573201
143.775 0.03105538648
143.92 0.03055730459
144.065 0.03007109697
144.21 0.02959638957
144.355 0.02913282292
144.5 0.02868005149
144.645 0.028237743
144.79 0.02780557788
144.935 0.02738324863
145.08 0.02697045932
145.225 0.02656692504
145.37 0.02617237144
145.515 0.02578653424
145.66 0.02540915881
145.805 0.02503999975
145.95 0.02467882046
146.095 0.02432539281
146.24 0.02397949674
146.385 0.02364091996
146.53 0.02330945757
146.675 0.02298491182
146.82 0.02266709174
146.965 0.02235581293
147.11 0.02205089725
147.255 0.02175217258
147.4 0.02145947257
147.545 0.02117263643
147.69 0.02089150868
147.835 0.02061593896
147.98 0.02034578182
148.125 0.02008089655
148.27 0.01982114696
148.415 0.01956640123
148.56 0.01931653176
148.705 0.01907141496
148.85 0.01883093114
148.995 0.01859496436
149.14 0.01836340228
149.285 0.018136136
149.43 0.01791306001
149.575 0.01769407198
149.72 0.0174790727
149.865 0.01726796594
150.01 0.01706065836
150.155 0.0168570594
150.3 0.01665708117
150.445 0.01646063839
150.59 0.01626764825
150.735 0.01607803036
150.88 0.01589170664
151.025 0.01570860129
151.17 0.01552864065
151.315 0.01535175315
151.46 0.01517786926
151.605 0.01500692139
151.75 0.01483884386
151.895 0.01467357278
152.04 0.01451104607
152.185 0.01435120333
152.33 0.01419398581
152.475 0.01403933637
152.62 0.01388719941
152.765 0.01373752082
152.91 0.01359024795
153.055 0.01344532954
153.2 0.0133027157
153.345 0.01316235784
153.49 0.01302420866
153.635 0.01288822207
153.78 0.01275435319
153.925 0.0126225583
154.07 0.0124927948
154.215 0.01236502116
154.36 0.01223919694
154.505 0.01211528269
154.65 0.01199323997
154.795 0.0118730313
154.94 0.01175462011
155.085 0.01163797078
155.23 0.01152304854
155.375 0.01140981946
155.52 0.01129825047
155.665 0.01118830929
155.81 0.01107996441
155.955 0.0109731851
156.1 0.01086794134
156.245 0.01076420385
156.39 0.01066194403
156.535 0.01056113395
156.68 0.01046174636
156.825 0.01036375463
156.97 0.01026713274
157.115 0.0101718553
157.26 0.01007789749
157.405 0.009985235054
157.55 0.0098938443
157.695 0.009803702073
157.84 0.009714785742
157.985 0.009627073186
158.13 0.009540542781
158.275 0.009455173386
158.42 0.009370944331
158.565 0.009287835402
158.71 0.009205826833
158.855 0.009124899291
159 0.009045033864
