# x g ann dg ann_dg ddg ann_ddg ann_antiderivative
-0.655 -0.275809 -0.276492 -3.31054 -3.31219 -0.753458 -0.651105 0.05148
-0.65 -0.292369 -0.293059 -3.31299 -3.31413 -0.225714 -0.123942 0.0500561
-0.645 -0.308934 -0.309629 -3.31278 -3.31342 0.308336 0.409227 0.0485494
-0.64 -0.325492 -0.326189 -3.30989 -3.31003 0.848238 0.947955 0.0469598
-0.635 -0.342028 -0.342725 -3.30429 -3.30393 1.39353 1.49179 0.0452875
-0.63 -0.35853 -0.359224 -3.29595 -3.2951 1.94372 2.04025 0.0435326
-0.625 -0.374983 -0.375672 -3.28485 -3.28352 2.49835 2.59288 0.0416954
-0.62 -0.391374 -0.392054 -3.27096 -3.26917 3.05689 3.14918 0.039776
-0.615 -0.407688 -0.408359 -3.25427 -3.25202 3.61887 3.70866 0.037775
-0.61 -0.423912 -0.42457 -3.23477 -3.23208 4.18375 4.27081 0.0356926
-0.605 -0.440031 -0.440675 -3.21243 -3.20931 4.75101 4.83512 0.0335294
-0.6 -0.456032 -0.456658 -3.18725 -3.18372 5.32013 5.40108 0.0312861
-0.595 -0.471899 -0.472507 -3.15923 -3.1553 5.89057 5.96815 0.0289631
-0.59 -0.487619 -0.488207 -3.12835 -3.12404 6.46178 6.53582 0.0265612
-0.585 -0.503178 -0.503743 -3.09461 -3.08994 7.03321 7.10352 0.0240813
-0.58 -0.518561 -0.519101 -3.05802 -3.053 7.60431 7.67073 0.0215241
-0.575 -0.533753 -0.534268 -3.01857 -3.01323 8.17452 8.23689 0.0188906
-0.57 -0.548741 -0.549229 -2.97627 -2.97064 8.74326 8.80146 0.0161818
-0.565 -0.563511 -0.56397 -2.93114 -2.92522 9.30998 9.36386 0.0133987
-0.56 -0.578048 -0.578476 -2.88318 -2.877 9.87409 9.92355 0.0105425
-0.555 -0.592338 -0.592735 -2.8324 -2.82599 10.435 10.48 0.00761433
-0.55 -0.606368 -0.606732 -2.77883 -2.77221 10.9922 11.0325 0.00461555
-0.545 -0.620122 -0.620453 -2.72249 -2.71568 11.545 11.5807 0.00154747
-0.54 -0.633588 -0.633884 -2.66339 -2.65641 12.093 12.1239 -0.0015885
-0.535 -0.646751 -0.647012 -2.60157 -2.59445 12.6354 12.6615 -0.00479087
-0.53 -0.659599 -0.659824 -2.53705 -2.52981 13.1718 13.1931 -0.00805809
-0.525 -0.672117 -0.672306 -2.46986 -2.46253 13.7015 13.7179 -0.0113886
-0.52 -0.684293 -0.684445 -2.40004 -2.39264 14.224 14.2356 -0.0147806
-0.515 -0.696113 -0.696228 -2.32763 -2.32018 14.7386 14.7454 -0.0182324
-0.51 -0.707565 -0.707643 -2.25267 -2.2452 15.245 15.2469 -0.0217422
-0.505 -0.718636 -0.718676 -2.1752 -2.16773 15.7423 15.7395 -0.0253082
-0.5 -0.729313 -0.729316 -2.09526 -2.08782 16.2302 16.2227 -0.0289283
-0.495 -0.739585 -0.73955 -2.01291 -2.00552 16.7081 16.6958 -0.0326007
-0.49 -0.749438 -0.749367 -1.9282 -1.92088 17.1753 17.1585 -0.0363232
-0.485 -0.758863 -0.758755 -1.84118 -1.83395 17.6314 17.61 -0.0400936
-0.48 -0.767846 -0.767703 -1.75191 -1.7448 18.0758 18.05 -0.04391
-0.475 -0.776378 -0.776199 -1.66044 -1.65347 18.5081 18.4779 -0.0477699
-0.47 -0.784447 -0.784234 -1.56685 -1.56004 18.9275 18.8931 -0.0516712
-0.465 -0.792043 -0.791796 -1.47119 -1.46456 19.3338 19.2953 -0.0556115
-0.46 -0.799156 -0.798876 -1.37353 -1.36711 19.7263 19.6839 -0.0595884
-0.455 -0.805775 -0.805464 -1.27395 -1.26775 20.1046 20.0584 -0.0635994
-0.45 -0.811892 -0.811551 -1.17251 -1.16655 20.4682 20.4183 -0.0676422
-0.445 -0.817498 -0.817127 -1.06929 -1.06359 20.8166 20.7633 -0.0717141
-0.44 -0.822582 -0.822184 -0.96437 -0.958943 21.1494 21.0928 -0.0758126
-0.435 -0.827138 -0.826714 -0.857824 -0.852688 21.4662 21.4064 -0.079935
-0.43 -0.831158 -0.830708 -0.749736 -0.744906 21.7664 21.7038 -0.0840788
-0.425 -0.834633 -0.83416 -0.640188 -0.635679 22.0498 21.9844 -0.0882412
-0.42 -0.837558 -0.837063 -0.529267 -0.52509 22.3159 22.248 -0.0924195
-0.415 -0.839924 -0.839409 -0.417059 -0.413228 22.5643 22.4941 -0.0966109
-0.41 -0.841726 -0.841193 -0.303654 -0.300179 22.7946 22.7223 -0.100813
-0.405 -0.842959 -0.842409 -0.189144 -0.186035 23.0065 22.9324 -0.105022
-0.4 -0.843616 -0.843052 -0.0736201 -0.070886 23.1998 23.124 -0.109236
-0.395 -0.843693 -0.843116 0.0428221 0.045174 23.3739 23.2968 -0.113451
-0.39 -0.843186 -0.842599 0.160087 0.16205 23.5288 23.4505 -0.117666
-0.385 -0.842091 -0.841495 0.278077 0.279647 23.664 23.5848 -0.121876
-0.38 -0.840405 -0.839801 0.396694 0.397865 23.7793 23.6995 -0.12608
-0.375 -0.838123 -0.837515 0.515837 0.516608 23.8745 23.7943 -0.130273
-0.37 -0.835245 -0.834634 0.635405 0.635775 23.9494 23.8689 -0.134454
-0.365 -0.831769 -0.831157 0.755296 0.755264 24.0037 23.9233 -0.138619
-0.36 -0.827692 -0.827081 0.875408 0.874974 24.0374 23.9573 -0.142765
-0.355 -0.823015 -0.822407 0.995635 0.994802 24.0501 23.9705 -0.146889
-0.35 -0.817736 -0.817133 1.11587 1.11464 24.0418 23.963 -0.150988
-0.345 -0.811856 -0.811261 1.23602 1.2344 24.0123 23.9346 -0.155059
-0.34 -0.805376 -0.80479 1.35596 1.35396 23.9617 23.8852 -0.159099
-0.335 -0.798297 -0.797722 1.4756 1.47321 23.8897 23.8147 -0.163106
-0.33 -0.790621 -0.790058 1.59482 1.59207 23.7963 23.723 -0.167076
-0.325 -0.78235 -0.781802 1.71353 1.71041 23.6816 23.6102 -0.171005
-0.32 -0.773486 -0.772955 1.8316 1.82813 23.5454 23.4762 -0.174893
-0.315 -0.764035 -0.763522 1.94894 1.94514 23.3879 23.321 -0.178734
-0.31 -0.753998 -0.753505 2.06545 2.06131 23.2089 23.1447 -0.182527
-0.305 -0.743382 -0.74291 2.181 2.17655 23.0087 22.9472 -0.186268
-0.3 -0.73219 -0.731741 2.2955 2.29075 22.7873 22.7288 -0.189955
-0.295 -0.720429 -0.720005 2.40884 2.4038 22.5448 22.4894 -0.193585
-0.29 -0.708104 -0.707706 2.52091 2.51561 22.2813 22.2291 -0.197154
-0.285 -0.695222 -0.694851 2.63161 2.62606 21.9969 21.9482 -0.200661
-0.28 -0.68179 -0.681447 2.74085 2.73505 21.6919 21.6468 -0.204102
-0.275 -0.667816 -0.667503 2.8485 2.84249 21.3664 21.325 -0.207474
-0.27 -0.653308 -0.653025 2.95448 2.94827 21.0207 20.9832 -0.210776
-0.265 -0.638274 -0.638023 3.05867 3.05229 20.6549 20.6214 -0.214004
-0.26 -0.622724 -0.622505 3.16099 3.15445 20.2694 20.24 -0.217155
-0.255 -0.606668 -0.606482 3.26133 3.25466 19.8644 19.8391 -0.220228
-0.25 -0.590115 -0.589962 3.3596 3.35281 19.4402 19.4192 -0.223219
-0.245 -0.573075 -0.572957 3.4557 3.44882 18.9972 18.9806 -0.226127
-0.24 -0.555561 -0.555478 3.54954 3.54259 18.5357 18.5234 -0.228948
