# rmax  E0  error=|E0+0.5|
2 -0.125000030027 0.374999969973
3 -0.423967311139 0.076032688861
4 -0.483265471783 0.0167345282167
5 -0.496417015356 0.00358298464406
6 -0.499277306641 0.000722693358987
7 -0.499862584936 0.000137415063945
8 -0.499975107682 2.48923183064e-05
9 -0.499995674231 4.3257692614e-06
10 -0.499999269598 7.30401906179e-07
12 -0.499999988504 1.14959632369e-08
15 -0.500000005386 5.38570588127e-09
